Where	Sub	Type	method	Text	Translation	File Directory	File Name	size	sha256	identifier	Reworked by	Contributors	Attribution	Comments	max_length
			pending			\Modular\Decals\Files	TX_Decal_Stop_01.png	257190	8b200b26aba4cf44a44b1bd04cf2de4a43edf82fcec76385c8c41a64b11b7191						
			pending			\Modular\Decals\Files	TX_Decal_Stop_02.png	218005	e013b4871094dc212ae86a9e1da7606f4856b30abfd4a89e81fe68ab9f23427b						
			pending			\Modular\Decals\Files	TX_Decal_Vena.png	199156	a5a83deeb431808fcea4e4f912669ed48da27d08add5b5d5e449c161ddb4d0f4						
			pending			\Modular\Decals\Files	TX_Decal_Zap.png	69500	20c0504a81199da489f80efe2f52e34f9569cc4de2e08f5cefdcffc0dff004be						
			pending			\Modular\Decals\Files	TX_Decal_Zora.png	167192	41eb56a0f56e824e3b05b8a86f6210b330e398cc67a71e033d7fcfccde6bc211						
			pending			\Modular\Decals\Files	TX_Decal_Överi.png	151373	08b88f040d7e5d04edd8aec8d0183695a0785b5d03ceadbb9e6e6b66f5905d89						
			pending	"HAMINA

Valtter.

NAKKIPILO HONOR
MOVET MÄÄRÄÄ

Fuck Ville
LOVE

Ylil

TJviTU sti"		\Assets\Chalkboard\Files	TX_Chalkboard_B_AL.png	2014410	22dfbe7c47d9fe2549b8d0dab8ad9fcd4d4dda37442305711a41f3558d75ba1d	3071					
			ignore			\Assets\Container_Shipping\Files	TX_Container_Shipping_AL.png	12895342	ba7290ad6f93636370976f3c7b7b7d23a70dac6c459770751f03aceb755730b8					Reason for ignoring: Text is Unreadable, Translation is unnecessary	
			pending			\Assets\Bus_Stop_F\Files	TX_Bus_Stop_F_AL.png	3972235	bc972d3c76d8ee015985fbfdfaefece0815719751c0b2bcbf2ab82f36e56f8f7						
			pending			\Assets\Frame_Garage\Files	TX_Frame_Garage_AL.png	3462374	52714dfcada1ff615208bb3b0638666a1b27cccfdb2ab040634e606e5a012c28						
