Where	Sub	Type	method	Text	Translation	File Directory	File Name	size	sha256	Reworked by	Contributors	Attribution	Comments	max_length
			ignore			\Items\Attachments\HMR\Files	TX_HMR_Reticle.png	9155	177773ce0ce5ff4db8f103bd6a3bae191a73c957ddd12bb159b22e85a6b4b35d					
			ignore			\Items\Attachments\Hybrid\Files	Icon_Hybrid.png	7937	fa64b933099c58e658d07eff45a513b0b44f702b5c74b525860833d413868547					
			ignore			\Items\Attachments\Hybrid\Files	TX_Hybrid_AL.png	142256	73d774b0cad0eaac438643ddaab7534d36eb803950e8c9749eae2f9eb4b03ab8					
			ignore			\Items\Attachments\Hybrid\Files	TX_Hybrid_NR.png	124079	bc127586bdabf834520c2e5ffcb5f5e7db69859b94ab769bf8847907d0e28011					
			ignore			\Items\Attachments\Kobra\Files	Icon_Kobra.png	10699	92140d3ad1d9b57daaf068f4732cc9c575ca3b86ac705a6a7b0d92e0acf4422b					
			ignore			\Items\Attachments\Kobra\Files	TX_Kobra_AL.png	2624906	b4ac1a8cbefb4da4bc95e9f4dab86cddf7b713856b3ad5a5bf05095b807690a1					
			ignore			\Items\Attachments\Kobra\Files	TX_Kobra_NR.png	1442792	45a01b44245bd2897ec2dd6def2ab9c8a3ef14b48891ec81d64f3f56ba68e07a					
			ignore			\Items\Attachments\Kobra\Files	TX_Kobra_Reticle.png	1552	a079fa08afe11e31f411dedcaca8beecf4efd0b35d198866fec1615b6c94f148					
			ignore			\Items\Attachments\Leopard\Files	Icon_Leopard.png	23115	f133e6870f1bc667c437320036fde5edb2eea16dc12a894f082e6e999019b1c4					
			ignore			\Items\Attachments\Leopard\Files	TX_Leopard_AL.png	3248725	5b451265613585c239c1845c51b95b7fd93dc5b3e5d1e6e5977e7998fc77b492				Reason for ignoring: Translation is unnecessary	
			ignore			\Items\Attachments\Leopard\Files	TX_Leopard_AO.png	153045	c7e643c49dae1b2522c3f3edfd1bdc6f1b705c6b04e6106ad7d5f70748244c9f					
			ignore			\Items\Attachments\Leopard\Files	TX_Leopard_NR.png	6406561	7b57b6b6b565f9a13e52dd9af8f3aded760eff76ee523a62bae2977094ca974a					
			ignore			\Items\Attachments\Leopard\Files	TX_Leopard_Reticle.png	83877	40329402d282cfeb9c04daeb198948e5ed3639ed63d11e9bc0ede1bd697bd5ec					
			ignore			\Items\Attachments\MRO\Files	Icon_MRO.png	7196	efc8122bd9c920defd3403c622f5e59ea0661ef1cd8c00678019598d8ca49305					
			ignore			\Items\Attachments\MRO\Files	TX_MRO_AL.png	756298	5f40c52180099c41178e506b491ae82fbb19d6a09fe3cd9d5fe4657ffd5045a6					
			ignore			\Items\Attachments\MRO\Files	TX_MRO_Mount_AL.png	807503	da5ba65e015b0776d669388d513646c5922d6d1b377efb9977151b5d798003da					
			ignore			\Items\Attachments\MRO\Files	TX_MRO_Mount_NR.png	1351599	c9dd9f60b3b9444cf4840b6eff93bb94ec916b5b864401819953273515a36ac5					
			ignore			\Items\Attachments\MRO\Files	TX_MRO_NR.png	1379189	2dfcb5e07d19eefa08ce28820d641e9a3eb20f6869a1ba983c06bf4e6c025824					
